title,episodes,rating,rank,popularity,start_date,end_date,year,synopsis,media_type,source,genres,studios
Magic-Kyun! Renaissance,13,7.01,4923.0,3190,2016-10-02,2016-12-25,2016.0,"A world where art becomes magic. In this world, people who can inspire passion with their Magic Arts are called Artistas, and are employed in show business. In Hoshinomori Private Magical Arts High School, where Artistas are taught, a strange new student named Kohana Aigasaki transfers into the school.

Kohana is placed on the planning committee for the school's yearly Hoshinomori Summer Festa cultural festival. She spends her romantic school life with six other boys who aim to become entertainers in the future. Each of the boys specializes in his own Arts, and aims to make Hoshi Fes a success. In addition, the boys also aim to be chosen alongside Kohana as the school's Artista Prince and Princess, only chosen once a year.

(Source: Official site)",tv,mixed_media,"Fantasy, Music, Reverse Harem, Romance, School, Visual Arts",Sunrise
Blue Reflection Ray,24,6.02,10790.0,4444,2021-04-10,2021-09-25,2021.0,"Individual pieces of human emotion usually take form as flowers known as ""Fragments."" The select few who possess strong enough Fragments can become ""Reflectors,"" beings who equip specialized rings that allow them to connect their thoughts, memories, and emotions to those whose feelings waver. There are two types of Reflectors—those who wear blue rings to protect those falling into depravity by preserving their Fragments, and those who wear red rings to prevent negative emotions by stealing the Fragments of those who begin to develop severe woe.

Despite wanting to socialize with people around her, transfer student Ruka Hanari's shy and introverted personality always gets in her way. In a chance encounter, however, she bumps into a woman who happens to drop a blue ring as she hurries away. Unable to return it, Ruka brings it back with her to her dorm. There, she meets the outgoing Hiori Hirahara, who also has a blue ring. They find themselves in several conflicts against red Reflectors, slowly realizing the true power of the rings that they hold.

Now striving to become Reflectors themselves, Ruka and Hiori must learn to work together and become stronger so that they can save not only the people around them, but also themselves from the emotions that hold them back.

[Written by MAL Rewrite]",tv,game,"Action, Mahou Shoujo, School",J.C.Staff
Mahou Shoujo Lyrical Nanoha: Reflection,1,7.5,2206.0,6081,2017-07-22,2017-07-22,2017.0,"The dying planet of Eltria is the only home of Kyrie Florian, her older sister Amitie, and her parents, who are scientists researching ways to save it. Unfortunately, the Florians must leave the planet behind to seek medical care for their father, who has contracted a lethal illness.

Even with treatment, the survival rate of Kyrie's father is minuscule. Refusing to give up on her father and Eltria, Kyrie goes against the wishes of her sister and runs away from home to the peaceful planet of Earth in search of a solution. There, Kyrie and her childhood friend, Iris, pursue Earth's magical protectors—Nanoha Takamachi, Fate Testarossa, and Hayate Yagami.

Nanoha and her companions possess the key to fulfilling Kyrie's objective, and the young girl must do whatever it takes to obtain it. However, it proves difficult for Kyrie, as the protectors do not easily yield to her provocation. Furthermore, Amitie soon arrives on Earth to stop her younger sister's reckless actions and bring her back home, further complicating the already delicate situation.

[Written by MAL Rewrite]",movie,original,"Action, Drama, Mahou Shoujo, Sci-Fi",Seven Arcs Pictures
Ao Oni The Animation (Movie),1,4.03,14871.0,7741,2017-02-11,2017-02-11,2017.0,An animated film series based on the Ao Oni game. It will feature a new story.,movie,game,"Horror, Mystery",Studio Deen
Grisaia: Phantom Trigger The Animation,2,6.89,5562.0,2653,2019-03-15,2019-03-15,2019.0,"Following the Heath Oslo incident, the existence of the US-Japanese anti-terror organization CIRS has become a matter of public knowledge. CIRS has been rebuilt from the ground up, and its most covert functions spun off to a new agency: SORD (Social Ops, Research & Development).

The goal of SORD is to train a new generation of operatives to defend the country against future threats. To that end, the organization has established a series of schools up and down the country. Mihama Academy, more-or-less left to rot after its abrupt closure, has been given new purpose as one such 'specialist training school'.

This new incarnation of Mihama Academy is home to a diverse group of students, who every day work to polish their unusual skills – sometimes on the job. Mihama now entrusts the misfit girls who attend it with guns and live ammunition.

Paying their own safety no heed, these students are again and again plunged into dangerous extrajudicial missions - all for the good of the realm.

""We've been provided with a place in the world. That alone isn't enough - there wouldn't be any meaning in living, if that was all we had... It's not enough just to be made use of by others. I live by my own strength, and I fight to survive. That's the only way those of us who actually make it through can find forgiveness...""

No matter how much life grinds them down, what future awaits these girls, who've themselves chosen the path of the gun?

(Source: Kickstarter)",movie,visual_novel,"Action, School",Bibury Animation Studios
Pokemon Advanced Generation,192,7.16,4077.0,1370,2002-11-21,2006-09-14,2002.0,"After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering contests, and other events on the way to the Houen League.

(Source: ANN, edited)",tv,game,"Action, Adventure, Comedy, Fantasy, Kids",OLM
Geisters: Fractions of the Earth,26,5.63,12717.0,12362,2001-10-06,2002-03-30,2001.0,"At the end of the 21st century, a meteorite collision plunged Earth into apocalypse, and the remnants of humanity went in two different directions to survive. The aristocratic Dobias headed into space, while the earthy Shioru went underground. Centuries later, they returned to Earth's surface and are now fighting for control of the planet—that is, when they're not busy fending off a new species of predators known simply as Creatures. Amidst this conflict, an elite team of five soldiers known as Geisters protects humanity from the Creatures and from each other. Although part of the Dobias, the Geisters have recently accepted a soldier of Shioru descent onto the team, and her take-charge personality leaves the other members unsure about her loyalty and usefulness to the group. With Dobias and Shioru tensions heating up on the political floor, Creatures running rampant, and a dangerous new weapon being developed in secret, the Geisters must maintain peace among themselves and the rest of society.

(Source: Anime Crash)",tv,original,"Action, Military, Sci-Fi",Plum
Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,12,6.25,9542.0,7431,2017-07-12,2017-09-27,2017.0,"""Sasuke Sarutobi"" is an average college student at Kyoto University studying time slips as a hobby until the day he falls into a time slip himself, transporting him to the Sengoku Period. Upon arrival, Sasuke encounters several warlords he could only ever dream of meeting: Toyotomi Hideyoshi, Tokugawa Ieyasu, and the famous ""Demon King of the Sixth Heaven"" Oda Nobunaga, who takes him in as a vassal. Introducing several modern concepts to the warlords varying from playing tennis to sending chain letters, Sasuke finds his place in an old but utterly new world. 

[Written by MAL Rewrite]",tv,game,"Historical, Romance","TMS Entertainment, Jinnis Animation Studios"
Yowamushi Pedal: New Generation,25,7.64,1638.0,2607,2017-01-10,2017-06-27,2017.0,"Third season of the Yowamushi Pedal series.

With the team's combined strength, the Sohoku High bicycle racing club beat reigning champions Hakone Academy at the Interhigh national race and achieved an impressive overall victory. Now that their hot summer has ended and third-years Kinjou, Makishima, and Tadokoro have retired from the team, first-year participants in the Interhigh Onoda Sakamichi, Imaizumi Shunsuke, and Naruko Shoukichi, along with their new captain second-year Teshima Junta and vice-captain Aoyagi Hajime begin preparing as a ""new team"" for their second consecutive championship at the next Interhigh. In order to retake their throne, their rivals Hakone Academy have also incorporated new members and begun training as a new team. Kyoto Fushimi High is lead by the monstrous racer Midousuji Akira. The nation's top schools are all honing their skills to reach the top of the Interhigh.

(Source: Crunchyroll)",tv,manga,"Racing, Shounen, Sports",TMS Entertainment
Rail Romanesque 2,13,5.68,12515.0,8025,2023-10-06,2023-12-29,2023.0,Second season of Rail Romanesque.,tv,visual_novel,"Anthropomorphic, Slice of Life","Yokohama Animation Lab, Cloud Hearts"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,14,7.97,792.0,740,2019-10-03,2019-12-26,2019.0,"Urano Motosu loves books and has an endless desire to read literature, no matter the subject. She almost fulfills her dream job of becoming a librarian before her life is ended in an accident. As she draws her last breath, she wishes to be able to read more books in her next life.

As if fate was listening to her prayer, she wakes up reincarnated as Myne—a frail five-year-old girl living in a medieval era. What immediately comes to her mind is her passion. She tries to find something to read, only to become frustrated by the lack of books at her disposal.  

Without the printing press, books have to be written and copied by hand, making them very expensive; as such, only a few nobles can afford them—but this won't stop Myne. She will prove that her will to read is unbreakable, and if there are no books around, she will make them herself! 

[Written by MAL Rewrite]",tv,light_novel,"Fantasy, Isekai, Reincarnation",Ajia-do
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,12,6.35,8909.0,5311,2016-07-11,2016-09-26,2016.0,"Set in a part of Tokyo that has descended into a quagmire, the story follows Unit 8 of the 5th Special Public Security Section's 3rd Mobile Assault Division, popularly called ""The Eighth,"" who don powered armor ""Willwear"" exoskeletons to counter the rise in crime. 

(Source: ANN)",tv,original,"Adult Cast, Mecha, Sci-Fi",Production IMS
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,12,5.88,11493.0,3199,2016-01-07,2016-03-24,2016.0,"In a futuristic, post-disaster Tokyo, the ""Special Public Security Fifth Division Third Mobile Assault Eighth Unit,"" or ""Unit Eight,"" is a police unit specializing in handling criminals who wield dangerous wearable technology called ""Willwear."" Equipped with Willwear of their own, the squadron is often criticized by the public for their carelessness and disregard for protocol.

Sent in by the government as an undercover agent with special instructions from the higher-ups, Asami Kazari is Unit Eight's newest member. Determined to straighten out what she expects to be a group of incompetent fools, she instead finds a team of well-intentioned experts who use very effective—albeit unorthodox—methods, hindered by strict regulations. With their newest member by their side, Unit Eight fights crime and overcomes unexpected adversaries in Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari.

[Written by MAL Rewrite]",tv,original,"Adult Cast, Mecha, Sci-Fi",Production IMS
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.28,346.0,485,1996-01-10,1998-09-08,1996.0,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans.

Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels.

Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?

[Written by MAL Rewrite]",tv,manga,"Action, Comedy, Historical, Romance, Samurai, Shounen","Gallop, Studio Deen"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4,8.69,73.0,953,1999-02-20,1999-09-22,1999.0,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute.

Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions.

[Written by MAL Rewrite]",ova,manga,"Action, Adult Cast, Drama, Historical, Romance, Samurai, Shounen",Studio Deen
Junjou Romantica 3,12,7.58,1839.0,2005,2015-07-09,2015-09-24,2015.0,"After living together for three years, Misaki Takahashi and Akihiko ""Usagi"" Usami's relationship has been progressing smoothly. However, all great relationships have problems, and theirs is just beginning. With a new rival on the horizon, Usagi worries about Misaki's feelings towards him. 

Meanwhile, Ryuuichirou Isaka has always loved to intrude on Misaki and Usagi's love life, but his own love life hasn't been all smooth sailing—Isaka and his secretary Kaoru Asahina have been dating for a few years; however, Asahina prefers to keep their professional and private lives separate, often leading to troubled waters between them.

As for Nowaki Kusama and Hiroki Kamijou, now that their careers are finally taking off, they hardly see each other anymore. With the time they spend together lessening, doubts and insecurities threaten to creep in between them. On the other hand, the 17-year age gap between Shinobu Takatsuki and You Miyagi has been a constant barrier in their relationship, but as they learn more about each other, their self-consciousness continues to fade.

The beloved couples of Junjou Romantica, Junjou Egoist, and Junjou Terrorist are back again, this time with a new addition: Junjou Mistake!

[Written by MAL Rewrite]",tv,manga,"Adult Cast, Boys Love, Comedy, Drama",Studio Deen
Dance XX,1,5.57,,19648,2015-10-07,2015-10-07,2015.0,"An official music video for the song Dance XX from the Never Look Back! EP release by the band ""Sappy"".",music,original,Music,Unknown
Xiong Chumo: Chunri Dui Dui Peng,52,5.61,12814.0,18148,2014-11-27,2015-01-15,2014.0,"Fourth season of Boonie Bears.

Now that spring is in the air, the forest animals are back to frolicking amongst the freshly blooming flowers and busy at work planting new trees to add even more color to their luscious home. The bear brothers—Briar and Bramble, and all their friends are having a jolly great time basking in this colorful season; however, from time to time, they stumble across Logger Vick who will not give up. The bears, along with their little friends make it their mission to protect the forest. This always results in a lot of laughter, tears and of course, adventures aplenty!

(Source: Official website)",tv,original,"Adventure, Comedy, Kids",Fantawild Animation
Z/X: Ignition,12,6.5,8057.0,3946,2014-01-10,2014-04-03,2014.0,"The story is set in the not-so-distant future. Five ""Black Points"" suddenly appeared around the world as portals to parallel worlds. Immediately after, strange creatures began their invasion from these portals. These creatures are the inhabitants of five worlds—the same worlds in different timeframes. In order to ensure their own future timeframe survives, each of the five invasion forces battle to wipe the other future timeframes out. The key is one card-shaped device.

(Source: ANN)",tv,card_game,"Adventure, Fantasy, Sci-Fi, Strategy Game",Telecom Animation Film
Sword Art Online: Extra Edition,1,6.55,7735.0,830,2013-12-31,2013-12-31,2013.0,"The story is set a couple of years after the events of Sword Art Online, where Kazuto ""Kirito"" Kirigaya and his sister Suguha meet up with Asuna Yuuki, Rika ""Lisbeth"" Shinozaki, and Keiko ""Silica"" Ayano at the SAO Survivor School. Kirito then attends emergency counseling, while the girls go for a swim at the pool. It turns out that said ""emergency counseling"" is a subterfuge set up by Seijirou Kikuoka, aiming to rehash the incident of Sword Art Online in hopes of determining Akihiko Kayaba's motives. What will the girls get up to in the pool, and what awaits Kirito and his ""counseling""?

[Written by MAL Rewrite]",special,light_novel,"Action, Fantasy, Video Game",A-1 Pictures
Promare: Galo-hen,1,6.87,5705.0,4576,2019-05-24,2019-05-24,2019.0,A prequel set one day before the events of the Promare film.,ona,original,"Mecha, Sci-Fi, Super Power",Trigger
ACCA: 13-ku Kansatsu-ka,12,7.66,1544.0,1535,2017-01-10,2017-03-28,2017.0,"ACCA—a national body of the kingdom of Dowa that provides public services to the citizens of the country—was established as part of the peace settlement between the king of Dowa and the 13 states of the country during a revolt. One hundred years later, Dowa is in a period of unprecedented peace, due in part to the ACCA system. However, rumors of a coup d'état start to surface. Jean Otus, the second-in-command of the inspection department of ACCA, is charged with inspecting all 13 state branches. What will he discover as he performs his audit?

Intriguing and mysterious, ACCA: 13-ku Kansatsu-ka is a politically-themed mystery that reveals a world of diverse cultures and lifestyles, with intricate connections between its characters, as the truth of the coup d'état slowly unfolds.

[Written by MAL Rewrite]",tv,manga,"Adult Cast, Detective, Drama, Mystery, Seinen",Madhouse
Yubisaki to Renren,12,8.2,451.0,808,2024-01-06,2024-03-23,2024.0,"For hearing-impaired university student Yuki Itose, silence has been a natural part of life since birth. Her world is small and isolated; she commutes to campus, interacts with her best friend Rin Fujishiro, and communicates through writing and text messages—a lifestyle that offers little to no change. One day, during her commute, Yuki meets fellow student Itsuomi Nagi, a multilingual travel enthusiast and friend of Rin. When Itsuomi learns of Yuki's condition, he takes it in stride, moving Yuki's heart. From this one simple gesture, Yuki and Itsuomi's lives start changing day by day as they let each other into their own worlds.

[Written by MAL Rewrite]",tv,manga,"Adult Cast, Romance, Shoujo",Ajia-do
Pokemon Movie 17: Hakai no Mayu to Diancie,1,6.56,7661.0,3466,2014-07-19,2014-07-19,2014.0,"In the underground Diamond Domain, where many Carbink live, the Mythical Pokémon Diancie serves as ruler. The Holy Diamond that sustains the land is beginning to fall apart, and Diancie is not yet strong enough to create a new one. While seeking help from the Legendary Pokémon Xerneas, Diancie encounters a group of thieves who want to take control of its diamond-producing power–and who awaken the Legendary Pokémon Yveltal from its cocoon in the process! Can Satoshi and his friends help Diancie discover its true power, stop Yveltal’s rampage, and save the Diamond Domain?

(Source: Official site)",movie,game,"Adventure, Fantasy, Kids",OLM
Miss Monochrome The Animation,13,6.39,8705.0,3486,2013-10-02,2013-12-25,2013.0,"Miss Monochrome is an android powered by a single AA battery. She lives with her only friend, a robot vacuum named Ruu-chan. With hopes of one day meeting the idol Kikuko, whom she has bizarre recurring dreams about, Miss Monochrome sets foot on the path to stardom. However, she experiences difficulties and struggles to make her own debut as an idol. Though Miss Monochrome's methods seem bizarre, such as recruiting her manager from a convenience store, somehow her dedication always results in her standing out from the crowd and shining in the spotlight.

[Written by MAL Rewrite]",tv,original,"Comedy, Idols (Female), Music","SANZIGEN, LIDENFILMS"
Idol Fantasy,1,5.31,13741.0,17006,2018-07-13,2018-07-13,2018.0,"An animated promotional video for Square Enix's mobile game Idol Fantasy. Within the game you the female manager Aoi Nishizono, and your job is to raise male idols to stardom in a heart-throbbing setting.",ona,game,"Idols (Male), Music, Strategy Game",Unknown
Hi-Fi Roman,1,6.26,,21790,2023-08-16,2023-08-16,2023.0,Music video directed by banishment for the song Hi-Fi Roman by Akihito Okano.,music,original,"Action, Music",Flat Studio
SoniAni: Super Sonico The Animation,12,6.11,10329.0,2484,2014-01-06,2014-03-24,2014.0,"Super Sonico is a clutzy, adorable, and well-endowed 18-year old girl. She's a complete sucker for anything cute, especially stray cats, all of which she giddily adopts. However, though Sonico should be enjoying a carefree and simple lifestyle as a young college student, her life is really anything but easy: she must balance being a professional model, working part-time at her grandmother's restaurant, and practicing guitar and performing concerts with her friends Suzu Fujimi and Fuuri Watanuki in their band, First Astronomical Velocity—all while attending college. SoniAni: Super Sonico the Animation follows Sonico as she faces daunting challenges in her search for her place in the world, even when her days are brimming with love and happiness.

[Written by MAL Rewrite]",tv,other,"Adult Cast, Comedy, Music",White Fox
Fantasy,1,4.83,14490.0,15842,2012,2012,2012.0,Short animation by Komazaki Tomomi.,movie,original,Avant Garde,Unknown
Kaguya-sama wa Kokurasetai: Ultra Romantic,13,8.96,16.0,165,2022-04-09,2022-06-25,2022.0,"The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.

Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.

As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.

[Written by MAL Rewrite]",tv,manga,"Comedy, Romance, School, Seinen",A-1 Pictures
Dance in the Vampire Bund,12,6.96,5148.0,1155,2010-01-07,2010-04-01,2010.0,"On live television, Mina Tepes, the ruler of all vampires, reveals the existence of her species to the world and states her plan to build a sanctuary in Japan for vampires, called the Vampire Bund. Using her family's wealth to pay off the nation's debt, they have agreed to let her build this safe-haven for her fellow creatures of the night. But not everyone is so easily swayed by Mina's influence, as her announcement brings about conflict with humans who believe that the queen's quest for peace is a façade.

Akira Kaburagi does not believe in vampires and gets uneasy whenever they are brought up, although he has yet to realize why. Apart from suffering a head injury a year ago, he lives on blissfully until he meets Mina. She triggers within him memories of a life he had long forgotten, and he soon begins protecting her without understanding why. But Akira's secret is far stranger than he could have ever thought possible—he discovers that he is a werewolf, sworn from birth to protect the vampire queen, even if it costs him his life. Now, as these two dance a rondo of death in the Vampire Bund, Mina and Akira find out just how deep their bond goes.

[Written by MAL Rewrite]",tv,manga,"Action, Drama, Romance, Seinen, Supernatural, Vampire",Shaft
Follow Your Fantasy,1,6.53,,14426,2021-12-17,2021-12-17,2021.0,"Witness stunning animation featuring Cygames all-stars locked in a blood-pumping action sequence. The characters come from both games and anime produced by the company, which celebrated its 10th anniversary in May 2021. This video is a collaboration between CygamesPictures, Inc. and SCOOP Music. Together, they bring us a vivid crystallization of Cygames magic. Keep your eyes peeled for more exciting content from Cygames as it pursues its corporate vision of being ""the best in entertainment.""

(Source: Official Youtube Channel)",music,original,Music,CygamesPictures
